x,y,z
0.6,0.14,9.7
0.6,0.18235294117647982,9.7
0.6058823529411832,0.1941176470588168,9.7
0.7,0.12352941176470404,9.723529411764703
0.7,0.2,9.756250000000001
0.7647058823529387,0.2,9.764705882352938
0.8,0.2,9.71764705882352
0.8,0.2,9.7
0.8,0.2,9.7
0.8,0.2,9.7
0.8,0.2,9.76470588235295
0.8,0.2,9.8
0.8,0.2,9.7
0.8,0.2,9.723529411764703
0.8,0.2,9.8
0.8,0.2,9.8
0.8,0.2,9.71764705882353
0.8,0.2,9.7
0.7764705882352856,0.2,9.723529411764714
0.7,0.2,9.8
